"Donald Duck Finds Pirate Gold","Four Color",9,1942,10,1942,5,-1
"The Victory Garden","Comics and Stories",31,1943,4,1942,12,-1
"The Rabbit's Foot","Comics and Stories",32,1943,5,1942,12,23
"Lifeguard Daze","Comics and Stories",33,1943,6,1943,1,29
"Good Deeds","Comics and Stories",34,1943,7,1943,2,24
"The Limber W. Guest Ranch","Comics and Stories",35,1943,8,1943,3,17
"The Mighty Trapper","Comics and Stories",36,1943,9,1943,4,20
"Donald Duck and the Mummy's Ring","Four Color",29,1943,9,1943,5,10
"The Hard Loser","Four Color",29,1943,9,1943,5,10
"Too Many Pets","Four Color",29,1943,9,1943,5,29
"Good Neighbors","Comics and Stories",38,1943,11,1943,6,22
"Salesman Donald","Comics and Stories",39,1943,12,1943,7,23
"Snow Fun","Comics and Stories",40,1944,1,1943,8,28
"The Duck in the Iron Pants","Comics and Stories",41,1944,2,1943,9,22
"Kite Weather","Comics and Stories",42,1944,3,1943,10,20
"Three Dirty Little Ducks","Comics and Stories",43,1944,4,1943,11,27
"The Mad Chemist","Comics and Stories",44,1944,5,1943,12,30
"Rival Boatmen","Comics and Stories",45,1944,6,1944,1,19
"Camera Crazy","Comics and Stories",46,1944,7,1944,2,29
"Farragut the Falcon","Comics and Stories",47,1944,8,1944,4,1
"The Purloined Putty","Comics and Stories",48,1944,9,1944,4,26
"High-wire Daredevils","Comics and Stories",49,1944,10,1944,5,26
"Ten Cents' Worth of Trouble","Comics and Stories",50,1944,11,1944,6,22
"Donald's Bay Lot","Comics and Stories",51,1944,12,1944,7,27
"Frozen Gold","Four Color",62,1945,1,1944,8,9
"Thievery Afoot","Comics and Stories",52,1945,1,1944,8,26
"Mystery of the Swamp","Four Color",62,1945,1,1944,9,23
"The Tramp Steamer","Comics and Stories",53,1945,2,1944,10,6
"The Long Race to Pumpkinburg","Comics and Stories",54,1945,3,1944,10,27
"Webfooted Wrangler","Comics and Stories",55,1945,4,1944,12,1
"The Icebox Robber","Comics and Stories",56,1945,5,1945,1,-1
"Pecking Order","Comics and Stories",57,1945,6,1945,2,2
"Taming the Rapids","Comics and Stories",58,1945,7,1945,3,9
"Eyes in the Dark","Comics and Stories",60,1945,9,1945,3,12
"Days at the Lazy K",Comics and Stories,59,1945,8,1945,4,3
"The Riddle of the Red Hat","Four Color",79,1945,8,1945,4,27
"Thug Busters","Comics and Stories",61,1945,10,1945,5,31
"The Great Ski Race","Comics and Stories",62,1945,11,1945,6,27
"The Firebug","Four Color",108,1946,1,1945,7,19
"Ten-Dollar Dither","Comics and Stories",63,1945,12,1945,8,2
"Donald Duck's Best Christmas","Firestone Giveaway",45,1945,12,1945,8,31
"Silent Night","Comics and Stories",64,1946,1,1945,8,31
"Donald Tames His Temper","Comics and Stories",64,1946,1,1945,9,19
"Singapore Joe","Comics and Stories",65,1946,2,1945,10,4
"Master Ice Fisher","Comics and Stories",66,1946,3,1945,10,27
"Jet Rescue","Comics and Stories",67,1946,4,1945,11,23
"Donald's Monster Kite","Comics and Stories",68,1946,5,1946,1,4
"The Terror of the River!!","Four Color",108,1946,1,1946,1,25
"Seals Are So Smart!","Four Color",108,1946,1,1946,1,25
"Biceps Blues","Comics and Stories",69,1946,6,1946,2,1
"The Smugsnorkle Squattie","Comics and Stories",70,1946,7,1946,2,28
"Santa's Stormy Visit","Firestone Giveaway",46,1946,12,1946,3,8
"Swimming Swindlers","Comics and Stories",71,1946,8,1946,3,26
"Playin' Hookey","Comics and Stories",72,1946,9,1946,4,25
"The Gold-Finder","Comics and Stories",73,1946,10,1946,5,27
"The Bill Collectors","Comics and Stories",74,1946,11,1946,6,14
"Turkey Raffle","Comics and Stories",75,1946,12,1946,7,8
"Maharajah Donald","Boys' and Girls' March of Comics",4,1947,-1,1946,8,13
"The Cantankerous Cat","Comics and Stories",76,1947,1,1946,8,29
"Donald Duck's Atom Bomb","Cheerios Giveaway",1,1947,-1,1946,9,9
"Going Buggy","Comics and Stories",77,1947,2,1946,9,25
"The Peaceful Hills","Boys' and Girls' March of Comics",4,1947,-1,1946,10,4
"Jam Robbers","Comics and Stories",78,1947,3,1946,10,28
"Picnic Tricks","Comics and Stories",79,1947,4,1946,11,18
"Volcano Valley","Four Color",147,1947,5,1946,12,9
"If the Hat Fits","Four Color",147,1947,5,1946,12,30
"Donald's Posy Patch","Comics and Stories",80,1947,5,1947,1,10
"Donald Mines His Own Business","Comics and Stories",81,1947,6,1947,1,28
"Magical Misery","Comics and Stories",82,1947,7,1947,2,19
"Three Good Little Ducks","Firestone Giveaway",47,1947,12,1947,2,28
"Vacation Misery","Comics and Stories",83,1947,8,1947,3,19
"Adventure Down Under","Four Color",159,1947,8,1947,4,4
"The Ghost of the Grotto","Four Color",159,1947,8,1947,4,15
"The Waltz King","Comics and Stories",84,1947,9,1947,5,1
"The Masters of Melody","Comics and Stories",85,1947,10,1947,5,5
"Fireman Donald","Comics and Stories",86,1947,11,1947,6,23
"Christmas on Bear Mountain","Four Color",178,1947,12,1947,7,22
"Fashion in Flight","Four Color",178,1947,12,1947,7,22
"Turn for the Worse","Four Color",178,1947,12,1947,7,22
"Machine Mix-Up","Four Color",178,1947,12,1947,7,22
"The Terrible Turkey","Comics and Stories",87,1947,12,1947,7,31
"Wintertime Wager","Comics and Stories",88,1948,1,1947,8,15
"Watching the Watchman","Comics and Stories",89,1948,2,1947,9,4
"Darkest Africa","Boys' and Girls' March of Comics",20,1948,-1,1947,9,26
"Wired","Comics and Stories",90,1948,3,1947,10,9
"Going Ape","Comics and Stories",91,1948,4,1947,10,28
"The Old Castle's Secret","Four Color",189,1948,6,1947,12,3
"Spoil the Rod","Comics and Stories",92,1948,5,1947,12,30
"Bird Watching","Four Color",189,1948,6,1948,1,6
"Horseshoe Luck","Four Color",189,1948,6,1948,1,6
"Bean Taken","Four Color",189,1948,6,1948,1,6
"Rocket Race to the Moon","Comics and Stories",93,1948,6,1948,1,16
"Donald of the Coast Guard","Comics and Stories",94,1948,7,1948,2,3
"Gladstone Returns","Comics and Stories",95,1948,8,1948,2,19
"Sheriff of Bullet Valley","Four Color",199,1948,10,1948,3,16
"Links Hijinks","Comics and Stories",96,1948,9,1948,3,25
"Sorry to be Safe","Four Color",199,1948,10,1948,4,22
"Best Laid Plans","Four Color",199,1948,10,1948,4,22
"The Genuine Article","Four Color",199,1948,10,1948,4,22
"Pearls of Wisdom","Comics and Stories",97,1948,10,1948,4,29
"Foxy Relations","Comics and Stories",98,1948,11,1948,5,28
"The Crazy Quiz Show","Comics and Stories",99,1948,12,1948,6,10
"The Golden Christmas Tree","Four Color",203,1948,12,1948,6,30
"Toyland","Firestone Giveaway",48,1948,12,1948,7,8
"Jumping to Conclusions","Four Color",203,1948,12,1948,7,22
"The True Test","Four Color",203,1948,12,1948,7,22
"Ornaments on the Way","Four Color",203,1948,12,1948,7,22
"Truant Officer Donald","Comics and Stories",100,1949,1,1948,7,29
"Donald Duck's Worst Nightmare","Comics and Stories",101,1949,2,1948,8,26
"Pizen Spring Dude Ranch","Comics and Stories",102,1949,3,1948,9,9
"Rival Beachcombers","Comics and Stories",103,1949,4,1948,9,23
"Lost in the Andes!","Four Color",223,1949,4,1948,10,21
"Too Fit to Fit","Four Color",223,1949,4,1948,11,24
"Tunnel Vision","Four Color",223,1949,4,1948,11,24
"Sleepy Sitters","Four Color",223,1949,4,1948,11,24
"The Sunken Yacht","Comics and Stories",104,1949,5,1948,11,24
"Race to the South Seas!","Boys' and Girls' March of Comics",41,1949,-1,1948,12,15
"Managing the Echo System","Comics and Stories",105,1949,6,1949,1,13
