Donald Duck Finds Pirate Gold 	"Donald Duck Four Color" #9 (Oct 1942) 	64 	Donald Duck 	Carl Barks, Jack Hannah 	Bob Karp 	W OS 9-02
The Victory Garden 	"Walt Disney's Comics and Stories" #31 (April 1943)	10 	Donald Duck 	Carl Barks 	Carl Barks (rewrite) 	W WDC 31-05
The Rabbit's Foot 	"Walt Disney's Comics and Stories" #32 (May 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 32-02
Lifeguard Daze 	"Walt Disney's Comics and Stories" #33 (June 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 33-01
Good Deeds 	"Walt Disney's Comics and Stories" #34 (July 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 34-01
The Limber W. Guest Ranch 	"Walt Disney's Comics and Stories" #35 (Aug 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 35-01
The Mighty Trapper 	"Walt Disney's Comics and Stories" #36 (Sept 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 36-01
Donald Duck and the Mummy's Ring 	"Donald Duck Four Color" #29 (Sept 1943) 	28 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 29-01
The Hard Loser 	"Donald Duck Four Color" #29 (Sept 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W OS 29-02
Too Many Pets 	"Donald Duck Four Color" #29 (Sept 1943) 	26 	Donald Duck 	Carl Barks 	Carl Barks, Merrill De Maris 	W OS 29-03
Good Neighbors 	"Walt Disney's Comics and Stories" #38 (Nov 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 38-02
Salesman Donald 	"Walt Disney's Comics and Stories" #39 (Dec 1943) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 39-01
Snow Fun 	"Walt Disney's Comics and Stories" #40 (Jan 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 40-01
The Duck in the Iron Pants 	"Walt Disney's Comics and Stories" #41 (Feb 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 41-01
Kite Weather 	"Walt Disney's Comics and Stories" #42 (Mar 1944) 	7 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 42-02
Three Dirty Little Ducks 	"Walt Disney's Comics and Stories" #43 (April 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 43-02
The Mad Chemist 	"Walt Disney's Comics and Stories" #44 (May 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 44-02
Rival Boatmen 	"Walt Disney's Comics and Stories" #45 (June 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 45-02
Camera Crazy 	"Walt Disney's Comics and Stories" #46 (July 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 46-02
Farragut the Falcon 	"Walt Disney's Comics and Stories" #47 (Aug 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 47-02
The Purloined Putty 	"Walt Disney's Comics and Stories" #48 (Sept 1944) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 48-02
